Sentences,Categorie
I didn’t play football yesterday.,1
They didn’t go to the theater last month.,1
She didn’t arrive on time this morning.,1
Did you play football yesterday?,1
Did they lose the match?,1
Did he clean his home last weekend?,1
I saw a movie yesterday.,1
I didn’t see a play yesterday.,1
"Last year, I traveled to Japan.",1
"Last year, I didn’t travel to Korea.",1
Did you have dinner last night?,1
She washed her car.,1
He didn’t wash his car.,1
"I finished work, walked to the beach, and found a nice place to swim.",1
"He arrived from the airport at 8:00, checked into the hotel at 9:00, and met the others at 10:00.",1
"Did you add flour, pour in the milk, and then add the eggs?",1
I lived in Brazil for two years.,1
Shauna studied Japanese for five years.,1
They sat at the beach all day.,1
They did not stay at the party the entire time.,1
We talked on the phone for thirty minutes.,1
I studied French when I was a child.,1
He played the violin.,1
He didn’t play the piano.,1
Did you play a musical instrument when you were a kid?,1
She worked at the movie theater after school.,1
"They never went to school, they always skipped class.",1
"She was shy as a child, but now she is very outgoing.",1
He didn’t like tomatoes before.,1
Did you live in Texas when you were a kid?,1
People paid much more to make cell phone calls in the past.,1
"When I paid her one dollar, she answered my question.",1
She answered my question when I paid her one dollar.,1
I paid her one dollar when she answered my question.,1
You just called Debbie.,1
Did you just call Debbie?,1
Tom repaired the car.,1
The car was repaired by Tom.,1
Did she play tennis when she was younger?,1
Did you live abroad?,1
When did you meet your wife?,1
Where did you go for your holidays?,1
Who discovered penicillin?,1
Who wrote Don Quixote?,1
They didn’t go to Spain this year.,1
We didn’t get home until very late last night.,1
I didn’t see you yesterday.,1
The dog attacked the little girl.,1
A fire broke out near my store.,1
A group of gangsters stole my money.,1
Did you do your homework?,1
"He sold the house for 16,000 dollars.",1
She taught me how to write a poem.,1
He wrote a book on politics.,1
The fan asked for his autograph.,1
His wife opened the door for him.,1
How did you come to know her?,1
I bought two bottles of milk.,1
How did your interview go?,1
I caught my finger in the door.,1
He beat the dog with a stick.,1
I heard you snoring during the class.,1
I left my luggage on the bus.,1
A man jumped out of the window.,1
He snored loudly while he slept.,1
The waiter brought a new plate.,1
I didn’t know where she came from.,1
The temperature fell several degrees.,1
We chose John to be captain.,1
The thief opened the door and fled.,1
She brought me a glass of water.,1
They all searched for the lost child.,1
He bent down to pick up the money.,1
They arrived here at about ten o’clock.,1
She arranged the flowers beautifully.,1
The angry man broke the window.,1
She lived in Kyoto four years ago.,1
The police arrested him for theft.,1
I forget your telephone number.,1
The musician beat his drums loudly.,1
I forgot to lock the door.,1
The mice ate some of the bread.,1
I found it easy to speak English.,1
My sister became a teacher.,1
Our car broke down last night.,1
Our team lost the first game.,1
Rohan became a policeman.,1
Where did you get your hair cut?,1
Where did you go last Sunday?,1
The cat ran away into the room.,1
Somebody burnt my treehouse.,1
The child threw a stone at the dog.,1
Who taught you to play the piano?,1
I only slept for three hours.,1
The meeting closed at six p.m.,1
Some apples fell down from the tree.,1
I started learning French last week.,1
I talked to her on the telephone.,1
Why did you open the box?,1
Why did you say such a thing?,1
You did this intentionally!,1
The shop carried leather goods.,1
I met her on my way to school.,1
The nurse took his temperature.,1
I never spoke to him after that.,1
I took your umbrella by mistake.,1
The new medicine saved her life.,1
The sky suddenly began to darken.,1
The teachers greeted the little boy.,1
I traveled around the country by car.,1
I watched an old movie on TV.,1
Marry made an apple pie.,1
We went to the airport by taxi.,1
I wrote a love letter last night.,1
John married an older girl.,1
The English lesson started at 9:30.,1
I ordered a book from Amazon.,1
Kate wanted an ice cream cone.,1
She took a bite of my apple.,1
My car ran out of fuel.,1
The dog ran after the ball.,1
She made pancakes for breakfast.,1
Somebody caught me by the arm.,1
The boy made fun of the girl.,1
The bus passed five minutes ago.,1
When I went to the zoo I saw a lion.,1
The milk froze and became solid.,1
They went out before I knew it.,1
This girl changed her look.,1
Tom and I saw a lion yesterday.,1
We ate sandwiches for breakfast.,1
We learned how to read English.,1
We played basketball yesterday.,1
Bob built a wooden bookcase.,1
The doctor achieved worldwide fame.,1
We reached the station on time.,1
Many people applied for the position.,1
We went to the beach last week.,1
The committee approved the proposal.,1
When did you begin learning English?,1
You acted like you owned the place.,1
"When I heard the news, I cried.",1
He tried hard but achieved nothing.,1
She added a little sugar to the coffee.,1
The doctor advised him not to drink.,1
I answered neither of the letters.,1
Both the girls started accusing each other.,1
Two boys played with a ball.,1
 I watched TV last week.,1
We ate meat with my best friend yesterday.,1
An old lady walked with her cat.,1
A nurse brought a little girl babyto the park.,1
An old man sat down and read his book.,1
A large trunk came around the corner.,1
She finished all the exercices.,1
I enrolled to the pilates course.,1
Dr Smith healed the patient.,1
They bought 2 tickets for the U2 concert.,1
Michael studied hard all year.,1
Did you play football last day?,1
I missed the class last week.,1
My brother drank a glass of milk 2 hours ago.,1
They had a meeting with her colleagues.,1
They were students last year.,1
He smoked a cigarrette.,1
They lived in the Spain.,1
She left the school in 2010.,1
He bought a new house last month.,1
The bus stopped a few minutes ago.,1
I met my wife 9 years ago.,1
She left the school in 2010.,1
He bought a new house last month.,1
Did she clean her home?,1
I read an interesting book last month.,1
We did a lot of shopping at the shopping mall.,1
He cut his finger and went to hospital.,1
She finished her work at six o’clock.,1
The rain stopped an hour ago.,1
It discovered a new land.,1
We watched a movie last weekend.,1
We were good friends.,1
You were at station.,1
I went to bed early yesterday.,1
George came home very late last night.,1
I forgot my wallet.,1
He had a dog last year.,1
Last year I traveled to Germany.,1
Two boys played with a ball.,1
An old lady walked with her cat.,1
A nurse brought a little girl baby to the park.,1
An old man sat down and read his book.,1
A large trunk came around the corner.,1
She finished all the exercices.,1
I enrolled to the pilates course.,1
Dr Smith healed the patient.,1
They bought 2 tickets for the U2 concert.,1
Michael studied hard all year.,1
Did you play football last day?,1
I missed the class last week.,1
My brother drank a glass of milk 2 hours ago.,1
They had a meeting with her colleagues.,1
They were students last year.,1
He smoked a cigarrette.,1
They lived in the Spain.,1
Alex changed his place.,1
I liked the film.,1
Did they lose the match?,1
A gardener swept up dead leaves.,1
We listened to music.,1
Where was she at 7 o’clock last night?,1
Amelia chose to stay with her father.,1
Mary forgot to turn off the light.,1
I cancelled my meeting for tomorrow.,1
I went to school yesterday.,1
We played basketball last Sunday.,1
We saw the Eiffel Tower.,1
"After the film had started, we arrived.",1
"By the time I returned home, he had already left.",1
"By the time the doctor arrived, the soldier had bled to death.",1
"By the time we came, she had finished the project.",1
Chloe had not visited Paris until she moved there because of her job.,1
Cristiano Ronaldo had not scored against Sevilla before.,1
Did the students go home after they had visited the library?,1
Elizabeth did not pass her exams because she had not studied enough to pass her exams.,1
Had he lived in Florida?,1
Had he spoken English until he went to England?Had Leonard and Rex finished all food before their trip was not finished?,1
Had Lilly gone to a Japanese course before she moved to Japan?,1
Had she done her homework?,1
Had the water boiled when you went to kitchen?,1
Had the woman cried till the morning?,1
Had they been married when I was born?,1
Had they gone out when you called?,1
Had they understood what happened?,1
Had you cleaned your office before they came?,1
He began to run after he had seen the cat.,1
He had gone when she became ill.,1
He had just escaped when the police came.,1
He had left when I went to the club.,1
He had lived in Florida for ten years before he moved to California.,1
He had not lived in Florida.,1
He had resigned before he was fired.,1
He had watered the flowers before she went shopping.,1
He said he had trusted her very much.,1
He told us he had visited Paris twice before.,1
I had always believed that life was very strange.,1
I had cleaned the house before they came.,1
"I had lived in London, before I moved to Paris.",1
I had made a decision before you called me.,1
I had made a decision before you called me.,1
I had never seen a lion before I went to Africa.,1
I had never seen him for 5 days. But I saw him yesterday.,1
I had never seen him for 5 days. But I saw him yesterday.,1
I had never seen such a nice beach before I went to Hawaii.,1
I had not cleaned my office before they came.,1
I had not cleaned the house before they came.,1
I had not slept all night because I got some bad news before I slept.,1
I had not washed the dishes until you came the home.,1
I had returned to university.,1
I had seen her once long years ago in Madrid.,1
I had washed the dishes before you came here.,1
I hadn’t played tennis before this match.,1
I hadn’t seen what happened.,1
I played game after I had finished my homework.,1
I returned home because I had forgotten my key at home.,1
I returned home because I had forgotten my notebook at home.,1
I went there after I had completed the task.,1
I went there after I had completed the task.,1
"If you had studied hard last year, he would have passed all his exams.",1
Jackson asked the singer when he had sung his first song.,1
Linda had appeared confused.,1
"My brother had already known four languages, before he started travelling.",1
My father and mother had been married for two years when I was born.,1
My father had taught me swimming.,1
My mother had written three books before she died.,1
My teacher greeted me and said she had never seen me for 3 days.,1
Seth had learned Russian before he moved to Moscow but his knowledge was not enough.,1
She had come late to the school.,1
She had come late to the school.,1
She had done her homework so she was happy.,1
She had done her homework so she was happy.,1
She had met him before the party.,1
She had not arranged a meeting with them before they asked for.,1
She had not done her homework so she was sad.,1
She had washed her hands before she cooked the dinner.,1
Stewart had not met with Jessia before the party was started.,1
The baby had cried before her father came.,1
The baby had cried till the morning.,1
The bus had gone by the time Mia got to the bus stop.,1
The important cargo Jeremy wanted had arrived when he went home in order to get things he need.,1
The police had warned those people many times before.,1
They  had not been married when I was born.,1
"They had already gone away, before the police arrived.",1
They had gone out when you called.,1
They had not gone out when you called.,1
They had owned this car for ten years before they sold it.,1
They had understood the subject.,1
"Until he went to England, he had never spoken English.",1
"Until he went to England, he had not (hadn’t) spoken English.",1
Valery and Madison had wanted to watch Marvel movies at their home but Valery had to go to work before their plan.,1
We had believed you.,1
We had had the house for 20 years before the earthquake.,1
We had prepared their rooms before my family came.,1
We went shopping after we had finished work.,1
What had you heard from the outside?,1
What type of books had you wanted before you went to the University of Harvard?,1
When had Rodney’s first poem published? Was he younger or older than ten years old?,1
When had you written this novel?,1
"When her husband died, they had been married for 30 years.",1
"When I came home, they had already eaten the meal.",1
"When I return home, she had already left.",1
"When she arrived, the bus had already left.",1
Why had he been so angry?,1
You had no idea about the girl when they asked.,1
You had not said that there is a problem before they said.,1
You had not studied hard.,1
She was not singing then.,1
You were not taking a shower then.,1
I was not playing then.,1
She was not eating ice-cream at that time.,1
We were waiting for our parents to come home.,1
Were you having your breakfast?,1
They were not watching TV then.,1
I wasn’t driving the car at that time.,1
You were not teaching those kids at that time.,1
Were you washing the dishes then?,1
I was not watering the plants then.,1
He wasn’t doing anything then.,1
You were not sleeping on that bed then.,1
She was not doing her homework then.,1
He was thinking about it.,1
It was raining heavily at that time.,1
I had just finished having my dinner when you called me up.,1
Were your parents already asleep?,1
I wasn’t cooking then.,1
They were not playing cricket then.,1
He was not watching TV at that time.,1
I was not writing the test at that time.,1
Were you watching TV then?,1
It was ten past nine then.,1
The girl wasn’t reading a book when her mother called her up.,1
You were just going to take a shower when the phone rang for the second time.,1
I had just finished taking my lunch when she called me up.,1
Were you already studying at that time?,1
It was raining then.,1
"I was not eating, I wasn’t even hungry.",1
They were sleeping when their mother came home.,1
We were playing football then.,1
He was not thinking about you then.,1
"When he came home, it had started raining heavily.",1
Were you still working there at that time?,1
I was watching two guys play basketball at the park.,1
Were you listening to me when I said that?,1
The bus was leaving the station as we got there.,1
I was learning English when you called yesterday.,1
Were you talking to Mary while she was making breakfast this morning?,1
There were five cats on the roof when I got home.,1
They were making a lot of noise while we were trying to sleep last night.,1
Were you sleeping when the loud sound woke you up?,1
I didn’t know where they kept the books so I was looking around for them.,1
It was snowing when we arrived at the mountains.,1
Were you feeling ok when you left work?,1
There was a small fire in the kitchen while I was cooking dinner last night.,1
I’ll be studying for an exam next week.,1
My car was needing new brakes so it made a lot of noise the other day.,1
The children are sleeping while their mother is reading to them.,1
He was writing a letter when his father came home.,1
I was studying when the phone rang.,1
They were watching TV when their mother called them for dinner.,1
She was sleeping when he came in.,1
He was preparing food while she was setting the table.,1
We were reading our books when there was a knock on the door.,1
I was listening to music when he came in.,1
He was waiting at the bus stop while she dashed out of work.,1
"While I was taking a shower, my sister called me from outside.",1
We were having dinner when our guests arrived.,1
She was talking to a friend when he saw her.,1
We were playing games while our friends went out.,1
I was watching TV when my mother came home from work.,1
"While he was doing his homework, the doorbell rang.",1
I was making lunch while she read a book.,1
We were singing a song when our friends arrived.,1
"While she was ironing clothes, the phone rang.",1
I was feeling bad while my family went for vacation.,1
She was taking a shower when her boyfriend came in.,1
They were watching TV when their mother called them for dinner.,1
"While I was taking a shower, my sister called me from outside.",1
We were playing games while our friends went out.,1
"While she was ironing clothes, the phone rang.",1
I was feeling bad while my family went for vacation.,1
She was taking a shower when her boyfriend came in.,1
They were watching TV when their mother called them for dinner.,1
"While he was doing his homework, the doorbell rang.",1
I was making lunch while she read a book.,1
"While I was taking a shower, my sister called me from outside.",1
We were singing a song when our friends arrived.,1
"While I was taking a shower, my sister called me from outside.",1
They were watching TV when their mother called them for dinner.,1
She was sleeping when he came in.,1
He was preparing food while she was setting the table.,1
We were reading our books when there was a knock on the door.,1
I was listening to music when he came in.,1
He was waiting at the bus stop while she dashed out of work.,1
"While I was taking a shower, my sister called me from outside.",1
We were playing games while our friends went out.,1
She was talking to a friend when he saw her.,1
We were singing a song when our friends arrived.,1
"While she was ironing clothes, the phone rang.",1
I was watching TV when my husband comes home.,1
It was raining when he went out of the house.,1
"We were talking on the phone, when she called in surprise.",1
"I had just turned off the computer, when it started making weird noises again.",1
"They were waiting for two hours, before they gave up.",1
"He was playing at the park, when I saw him from a distance.",1
We were looking for you all day yesterday.,1
She was sleeping when her alarm clock rang shrilly.,1
"The child was making sand houses, when the sun disappeared behind a cloud .",1
"They were reading the book, when there was a knock on the door.",1
"She was doing her homework, when the teacher called for attention.",1
"I was writing a letter, when there was a power failure.",1
"He was watching TV, when he heard that his mother had fallen down and got hurt.",1
"We were washing the car, when the rain started pouring down right in front of us",1
"I was watering the plants, when the phone rang.",1
"We were taking our lunch break, when John burst in through the door.",1
"She was ironing her shirt, when she remembered that she had to pick up her son from school.",1
"You were waiting for me outside, when I came back home.",1
John was watching TV at 8 pm.,1
I was studying in the university when she came.,1
They were not knowing that they are being cheated.,1
"When I reached home, my mother was cooking lunch.",1
Mum wanted to be a doctor when she was young.,1
Was your father working late last night?,1
Mum was brushing her hair when she heard a loud noise from the kitchen.,1
Dad told him to be silent for few minutes while he is speaking in phone.,1
The plane was landing at Delhi airport when I reached the gate.,1
I was reading novel yesterday when you called me up.,1
We were watching movie in the theater when it started raining.,1
"When I came home, my sister was cooking dinner.",1
I had been waiting her for an hour when she arrived.,1
The train was about to leave when they reached there.,1
John is going to be a doctor since he was a child.,1
"When I told him that it is time to leave, they were just going back from the bar.",1
They had been waiting me for two hours when I came home.,1
I was thinking of her last night when my father called me up.,1
She is reading a book since morning.,1
The phone was ringing when I reached there.,1
She looked up at the stars and thought about how small she felt in this vast world of ours!,1
He woke up really early this morning because he was excited about the day!,1
I woke up this morning to find everyone else already awake in the house.,1
They had dinner at 6 PM and then went to bed right afterwards.,1
The dog fell asleep under my desk earlier today when I came home from school early.,1
I came home early from school!,1
We stayed up late talking on the phone last night.,1
She watched T.V. until she passed out in her chair after studying for a while.,1
They didn’t have school yesterday because it was New Year’s Day!,1
We all went to the park after school today.,1
They saw a bear wander into the yard across the street!,1
She walked outside with me to look for the cat that had run away.,1
The dog ran around in circles all day long until he fell asleep at my feet.,1
We looked out the window and saw the bear walk into the yard across the street!,1
I ate at Taco Bell for dinner last night.,1
They looked out the window and saw the bear run away!,1
She woke up early this morning because she was excited about all the possibilities that lay ahead of her.,1
They came home from school early!,1
The cat fell asleep on a pile of old clothes until I came home from work.,1
We had dinner together and then we all watched T.V. before going to bed early.,1
She sat on the step outside for a while after she had finished her homework for the night.,1
They watched T.V. together and fell asleep on the couch before midnight.,1
She stayed up late reading a book last night because she couldn’t put it down!,1
We all went to Starbucks after school for coffee before we went home for the day.,1
I woke up really early this morning and couldn’t get back to sleep!,1
The dog went outside and pooped in the yard for a while before he came in.,1
They had dinner together and then they all watched T.V. before going up to bed after midnight.,1
She sat on the porch with her grandparents for a while before she went inside to get something to eat.,1
The cat snuck outside when I wasn’t looking and jumped up on the fence!,1
They worked hard all day long and then they sat down for a drink of water before going home.,1
"We all felt really tired after school today, so we all went to bed early.",1
I put the cat outside because she was being bad and got onto the counter!,1
We slept in until 12 PM on Sunday and then we all went out to lunch together!,1
He saw a van drive up and park in front of our house when he walked outside for a cigarette break.,1
They sat on the porch after dinner talking about their day!,1
I came home from school to find her sleeping under the covers in our bed.,1
"We all felt really tired after work, so we went to bed early.",1
She got up earlier than usual because she wanted to have a relaxing day!,1
I saw a van drive up and park in front of our house when I got home from work.,1
We all sat down for a drink of water after we finished eating dinner together.,1
